address,trading_pnl,nft_pnl,nft_pl_ratio,nft_winrate,trading_pnl_ratio,trade_winrate,liquidity_ratio,trading_frequency,nft_sales_rate,prop_success_trades
3D1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g,2.0,5.0,0.62,2.0,0.25,1.6666666666666667,0.38,0.38,0.67,1.04
4D2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g,-5.0,-3.0,0.3,0.25,0.5,0.2,0.17,0.17,0.62,0.17
5D3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g,5.0,10.0,0.59,4.0,0.294,3.0,0.2,0.2,0.71,2.4
6D4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g,3.0,2.0,0.33,4.0,0.5,2.0,0.17,0.17,0.71,1.67
7D5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g,-2.0,-1.0,0.29,0.5,0.571,0.3333333333333333,0.11,0.11,0.75,0.3
8D6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g,4.0,3.0,0.38,5.0,0.5,5.0,0.25,0.25,0.67,3.75
9D7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g,2.5,1.5,0.33,3.0,0.556,4.0,0.17,0.17,0.67,3.33
10D8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g,-3.0,-2.0,0.33,1.0,0.5,0.25,0.17,0.17,0.67,0.21
11D9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g,2.0,5.0,0.62,4.0,0.25,2.0,0.17,0.17,0.62,1.67
12D0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g,2.0,1.0,0.29,2.0,0.571,2.0,0.25,0.25,0.75,1.5
13D1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g,1.5,2.5,0.5,3.0,0.3,4.0,0.17,0.17,0.67,3.33
14D2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g,-2.0,-1.0,0.29,1.0,0.571,0.25,0.17,0.17,0.67,0.21
15D3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g,4.0,3.0,0.38,5.0,0.5,5.0,0.25,0.25,0.67,3.75
16D4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g,2.0,1.0,0.29,2.0,0.571,2.0,0.25,0.25,0.75,1.5
17D5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g,2.5,1.5,0.33,3.0,0.556,4.0,0.17,0.17,0.67,3.33
18D6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g,-3.0,-2.0,0.33,1.0,0.5,0.25,0.17,0.17,0.67,0.21
19D7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g,4.0,3.0,0.38,5.0,0.5,5.0,0.25,0.25,0.67,3.75
20D8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g,2.0,1.0,0.29,2.0,0.571,2.0,0.25,0.25,0.75,1.5
21D9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g9g,2.5,1.5,0.33,3.0,0.556,4.0,0.17,0.17,0.67,3.33
22D0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g0g,-2.0,-1.0,0.29,1.0,0.571,0.25,0.17,0.17,0.67,0.21
23D1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g1g,4.0,3.0,0.38,5.0,0.5,5.0,0.25,0.25,0.67,3.75
24D2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g2g,-2.0,-1.0,0.29,1.0,0.571,0.25,0.17,0.17,0.67,0.21
25D3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g3g,4.0,3.0,0.38,5.0,0.5,5.0,0.25,0.25,0.67,3.75
26D4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g4g,2.0,1.0,0.29,2.0,0.571,2.0,0.25,0.25,0.75,1.5
27D5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g5g,2.5,1.5,0.33,3.0,0.556,4.0,0.17,0.17,0.67,3.33
28D6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g,-3.0,-2.0,0.33,1.0,0.5,0.25,0.17,0.17,0.67,0.21
29D7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g7g,4.0,3.0,0.38,5.0,0.5,5.0,0.25,0.25,0.67,3.75
30D8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g8g,2.0,1.0,0.29,2.0,0.571,2.0,0.25,0.25,0.75,1.5
